2000 100000
168 1750 899
1772 883 650
1297 1958 961
874 702 567
723 158 710
594 840 760
943 1455 477
1137 1437 510
1723 1764 145
1170 1063 216
1241 321 44
534 1762 212
1571 1419 56
1326 567 339
1173 1028 191
478 257 751
196 301 203
1855 1736 365
847 121 575
606 1055 422
1799 466 386
893 271 874
1476 24 319
219 782 956
732 797 979
803 1958 122
883 14 907
1875 682 354
1167 102 869
928 1416 164
163 1508 943
46 696 911
1580 696 395
187 201 680
539 237 258
407 5 730
1786 205 415
319 578 719
18 1846 485
1852 1923 730
845 933 330
271 361 313
1521 1609 624
409 929 16
1802 327 314
1821 86 933
716 1669 407
1799 1274 892
969 1337 629
185 1413 154
1425 1014 82
918 879 105
1326 1998 464
1175 1108 590
706 1893 636
1192 1828 459
328 1912 779
751 552 680
1530 872 747
1303 1110 851
115 1653 619
1482 526 856
156 833 651
53 968 134
142 1877 30
749 1261 901
1460 189 896
703 1768 245
1541 1524 178
351 680 139
429 1337 868
499 1794 779
1781 1286 457
1325 1457 83
310 1440 201
599 1090 266
427 1839 132
1582 1095 433
1662 665 575
484 73 604
1146 1547 943
1141 229 684
1142 796 953
1073 1043 197
770 1697 708
736 357 156
1696 698 870
1246 1449 448
84 1736 324
82 376 50
1110 467 153
899 485 755
928 226 981
1468 1677 865
1448 1784 365
31 658 620
1087 1886 205
1639 1671 175
1410 1904 405
990 316 930
289 1501 55
1003 1556 91
826 764 712
653 376 588
1576 294 995
188 1882 75
225 934 141
732 698 429
524 1324 510
1966 1066 54
1744 1209 651
604 1429 991
1311 1212 909
133 957 456
1158 1805 586
290 1637 172
640 1683 58
714 1573 662
1440 717 451
1059 915 292
732 1887 777
224 415 936
477 1723 907
918 132 453
1144 603 117
1267 519 70
354 1126 899
401 1215 917
982 1037 636
214 254 698
631 1161 391
1941 38 371
130 247 143
1397 744 991
730 713 724
922 425 882
266 828 869
1107 210 879
1894 952 229
969 248 217
551 1669 661
1228 1614 528
222 991 933
125 865 756
857 286 493
205 630 990
182 1911 899
802 1654 325
1322 1356 929
1547 161 714
242 710 17
678 1205 162
802 893 173
1630 1680 866
1374 1192 274
1135 730 55
871 1943 56
1771 722 314
733 357 754
589 377 489
1890 993 369
420 1299 565
228 1065 627
298 286 551
744 1088 200
490 296 177
377 1572 499
1627 1066 848
1188 1465 534
739 787 20
1077 162 794
262 785 89
1419 95 446
242 1586 260
1407 628 415
419 914 647
1425 162 508
1204 620 954
77 795 630
1290 1023 389
482 1754 47
673 1237 464
67 678 958
1351 1923 634
299 1867 934
1229 556 622
1011 390 354
1445 853 527
1161 1355 594
525 1795 188
527 571 874
319 1474 461
1739 86 783
1204 1073 440
1920 973 946
449 1606 880
737 551 733
741 288 159
1231 715 262
250 1036 397
898 673 11
1875 1991 701
322 598 373
712 182 441
933 735 59
306 1761 314
993 1905 704
1549 1636 378
948 1551 826
1196 1933 928
1659 27 407
1232 1827 657
266 1314 755
444 493 956
1409 7 93
1603 534 565
796 59 453
1632 990 299
385 1917 934
93 703 287
1561 591 576
762 451 861
137 1251 924
1347 1266 630
1077 1067 693
497 1799 50
1750 1299 880
1908 1222 119
959 270 25
1230 1644 560
241 1605 172
1994 266 609
847 1501 626
55 1949 35
1239 933 258
1579 1254 973
1061 1590 137
451 555 834
723 445 574
1716 1448 414
1657 1382 414
240 742 396
1715 1829 556
318 695 998
561 440 52
1540 732 671
570 616 151
622 1766 613
1613 89 247
311 1885 543
1048 285 804
967 1447 641
1008 1139 355
1683 776 527
1481 83 951
744 853 85
1174 1806 739
1581 1672 757
551 208 45
214 380 464
559 1167 845
307 201 494
512 1657 855
1805 1174 145
494 909 616
1878 1257 148
508 383 475
1547 1488 833
1975 1854 313
1090 137 967
1140 532 349
369 176 170
820 1162 721
1744 1415 388
33 215 423
532 800 604
1589 8 943
512 1430 401
310 1757 681
1614 1861 1000
30 1352 185
363 1294 622
930 1470 592
160 1071 210
1457 1518 908
1049 1012 445
1018 813 654
1201 1768 250
1494 744 168
537 475 109
1720 959 488
1094 117 390
593 370 89
144 1765 38
387 1308 429
1567 761 383
700 1136 943
941 539 446
489 269 535
1309 1976 785
