25000 24999
0 461 638
461 21225 184
21225 953 147
0 11958 27
461 5989 407
0 4993 761
5989 1095 376
21225 6626 434
4993 20810 923
953 2861 192
2861 11716 471
953 7523 37
21225 11271 269
5989 8288 932
11716 18664 167
1095 4105 395
1095 23744 432
6626 7598 385
5989 11789 718
20810 9784 463
4105 19522 309
6626 13722 978
7523 12975 501
0 8937 877
5989 21427 756
11716 13968 571
2861 11313 59
11716 17541 334
23744 9040 724
11716 18933 828
9040 19056 636
21427 19796 525
18933 9554 724
18933 23695 282
20810 2489 822
2861 21146 889
461 7190 81
5989 9624 974
18664 15857 749
8937 17100 599
8937 2918 670
18664 982 979
2861 7708 389
11958 16799 101
18664 3751 120
11313 17127 868
17127 17555 517
7523 12944 623
17555 22076 209
11271 1104 808
9784 14765 447
19522 2477 583
21225 23337 890
13722 24565 640
23337 16471 647
13968 10652 446
20810 16589 678
18664 16126 92
16471 7165 947
2477 2533 802
11958 7615 409
13722 10810 394
3751 751 546
21427 429 951
11958 15890 738
0 22380 619
2489 12297 399
7165 4013 235
1104 22113 346
12944 22975 662
7708 24187 510
7190 7966 502
0 15449 336
1095 19175 211
24565 22342 814
24565 2997 120
22113 23107 223
11313 5340 853
15449 18850 893
19056 15188 519
15857 728 908
7523 12305 483
21225 16519 553
10810 16505 833
15188 8826 270
10810 23422 390
23107 7442 28
22342 23740 265
22342 15278 247
16471 13567 817
17127 19798 148
23422 19664 917
17541 17348 822
9624 16552 642
11789 16782 944
22076 6822 710
23695 4875 21
16799 17587 192
15188 3321 455
12297 24925 618
22113 6331 927
9784 9460 360
7442 5325 560
6822 6249 450
4105 24533 724
13567 22768 552
9460 10644 331
23107 4082 905
17541 9955 857
6822 2177 456
11789 1254 534
23740 15596 873
16126 22011 280
7165 13852 419
2477 10855 169
1254 17351 850
9460 9435 828
7442 6816 288
1095 10763 355
9435 22034 63
9955 4298 945
5340 11851 966
16552 10655 418
23744 10456 850
10855 10211 417
19796 6825 523
11716 11804 841
9784 12723 310
10652 7590 133
17587 426 887
23337 20135 831
23695 18860 401
2489 8946 484
10655 23091 704
22768 8313 416
24565 9523 530
9554 10323 584
22768 14422 467
16519 1087 598
6249 15844 695
13968 12762 382
13968 22882 649
982 8212 760
9460 3176 964
429 24690 115
23740 20749 296
4875 6565 384
12723 5968 369
16589 19803 754
22034 4062 651
16505 12908 801
9955 10199 302
20810 18409 582
5325 15229 863
10655 663 366
2861 2198 399
6626 15045 255
10456 20088 682
11716 20311 941
8212 24496 537
5325 13469 24
4062 17527 652
19175 17270 261
21427 14090 211
9554 14210 419
23091 13948 196
10323 7704 781
24496 13291 770
9554 23616 732
7966 23346 851
24187 15174 543
9955 6277 974
10655 18525 201
23107 16057 650
22342 19334 607
12305 2962 808
19056 9223 463
2198 21233 223
23107 17389 538
22975 17266 746
17555 4348 911
16471 17867 760
9955 7519 719
9955 16593 30
22768 23894 764
2918 15853 811
429 265 872
9223 2766 242
728 20938 50
17127 14093 219
23337 11614 318
16552 14663 898
9435 14236 274
22380 19168 848
9955 15437 286
5340 14530 67
663 11223 497
16782 14854 363
16519 13394 270
12297 21027 467
9040 19704 896
15045 9429 947
24187 14301 449
9554 10131 697
15188 4442 226
22768 4930 379
4442 20542 704
7590 3258 179
22380 10719 396
15045 17362 919
22113 5822 703
4930 11967 567
8826 24714 996
24925 16577 588
15229 1071 885
13291 21687 999
12944 10020 461
11223 11203 343
11958 11382 880
426 2098 295
17541 24810 638
21233 814 48
15844 20491 232
7442 17307 166
22768 5258 476
11967 13561 554
663 12270 729
982 16969 335
6816 12686 502
14422 10189 286
953 7922 223
10810 23607 571
10644 21954 331
14090 11915 462
20749 6217 895
6217 21308 167
6277 15244 255
9435 4568 820
7708 11898 535
5258 15882 392
982 5964 575
15857 13397 98
14090 3733 890
11203 22910 709
22342 24065 925
814 22531 197
19168 16661 285
19796 19612 201
5325 23041 940
15244 3251 808
14422 11322 805
17527 6875 297
16126 4044 797
7165 20443 282
22768 15199 965
7442 19823 678
17587 9831 335
10644 6233 727
1104 4498 351
461 11321 632
3251 2447 447
2861 8716 486
15174 21232 236
1095 1862 264
1095 22992 258
13948 4873 533
8826 6161 203
21146 11642 982
14090 12237 202
429 1838 918
12305 15552 844
23422 3449 328
4044 1657 691
6825 12414 722
18850 11650 676
22992 11207 403
21027 9945 275
23695 4312 90
9624 21365 564
20542 17184 661
15199 23245 742
7922 13016 895
21027 11032 293
1071 23165 648
12723 19097 55
1087 24052 443
17270 8499 908
24065 9577 37
22380 21249 499
16577 5208 966
9955 14114 448
16577 15638 83
17266 5677 860
4875 2686 367
15844 18797 370
11650 4240 338
2198 13177 567
1095 14788 115
16519 21976 82
13852 14106 934
15857 9745 786
20938 24960 968
7708 1773 54
21225 3287 62
9831 20617 964
24065 5577 661
2489 14404 558
814 19483 797
17307 11416 890
3733 23814 538
3251 3315 483
12414 16101 165
21976 21283 222
23744 17245 141
0 2155 263
21976 9666 718
6217 17179 496
2447 7589 641
17266 18351 88
6565 10083 450
10655 10725 831
17127 4780 42
7704 2577 362
20749 9578 163
11271 3164 282
9435 4130 854
8212 9776 570
3258 24645 807
4298 11204 71
15596 18158 994
1104 21959 354
10456 19812 409
23422 8079 118
21146 21470 638
14114 14654 487
8826 23019 447
20311 16916 887
11958 16292 295
2477 24262 221
3733 18278 579
12944 15962 58
13948 15252 631
2198 12631 81
12414 22794 797
13177 18069 730
11382 22767 918
10719 2259 68
0 13797 254
9955 3869 564
15437 10734 681
16969 1747 195
9435 3847 620
3176 24670 393
13948 23753 986
12723 18437 49
23019 13732 325
19803 12953 202
21976 6305 796
22076 5148 385
429 563 16
4240 22599 815
6822 15427 351
9784 14020 740
1838 13207 877
3751 17398 776
20135 10126 818
23744 13623 912
3251 20041 634
21232 3311 458
2447 20935 100
1071 24397 901
14654 23623 743
15188 7348 602
1071 5357 168
24690 2934 839
9523 5820 801
814 14342 169
12944 97 560
16292 22268 702
265 10615 948
6565 24652 608
11271 2711 823
4062 2024 493
15596 2086 781
4780 7021 627
15229 17199 622
23616 1449 538
3869 23573 176
17867 7931 362
13948 2403 168
3751 5237 680
23573 3345 435
15449 16641 632
18069 17862 759
9460 4967 695
3311 22902 62
11915 21195 64
3176 899 202
14765 2143 408
19168 12129 764
5822 16683 849
14404 5358 205
11203 14984 749
23814 11392 480
5358 5493 638
1773 22811 115
4875 4247 531
16505 10894 78
1087 2499 122
23695 23363 245
2997 19626 495
20041 4855 360
2577 5520 664
4498 2597 838
13852 24473 261
9523 621 216
11804 9961 612
2499 9962 64
24065 17136 989
7021 6452 455
7519 8876 625
23346 1707 507
16471 5883 860
21365 3178 788
3321 23395 737
21233 11532 495
10655 16791 881
9577 23676 936
2686 14101 697
13291 22547 578
6626 9022 596
24810 11680 387
14093 10420 659
23623 3212 760
9945 20731 477
14210 22154 483
17351 2228 821
16683 669 84
17266 1676 618
12762 2624 588
15857 7373 968
21225 2744 485
11392 13192 778
4044 21655 385
1087 21259 245
11321 13142 598
14020 7806 31
17362 11162 263
17541 7834 36
21470 17169 933
16519 15847 275
23019 1703 620
563 11827 970
23245 1009 766
15252 290 704
15278 17836 621
11716 8239 114
7523 14439 351
13732 24346 409
11804 2274 318
20731 16209 356
16101 17727 689
5237 18557 956
5340 8511 676
5357 4618 773
21954 18021 68
20041 17713 806
18409 20285 184
4780 5919 440
23337 23899 14
2744 8045 178
10734 17701 640
21259 3870 809
9523 12364 241
7704 23222 820
20935 2628 637
10189 21947 641
17867 24677 84
10810 19795 370
23165 16874 194
18797 17800 425
16519 16946 303
1095 12811 724
7922 455 561
2447 6424 999
21655 20586 585
23337 23505 609
16126 19852 279
11382 10278 791
2499 9475 228
426 18533 626
11416 9695 112
13016 10776 161
11532 11432 238
7598 17957 495
13732 3944 224
2686 16400 134
9831 6267 869
23165 6164 363
20041 18569 623
2274 21492 109
1838 7539 291
12762 7019 762
10278 19182 978
17348 2171 224
10763 18386 150
19056 20679 881
13394 7479 613
17836 10944 120
6565 5973 144
5493 20513 675
23041 4785 302
19522 4918 461
24346 14203 413
461 11396 825
18437 881 570
22154 8535 979
18278 7022 307
663 20296 322
18409 9258 361
24670 9593 241
1087 22448 109
11915 2217 820
17307 10928 739
3287 6401 576
21687 11810 949
21027 9432 474
12762 22516 283
9577 9757 418
17867 14411 875
13016 21145 120
22342 1969 277
1657 16462 222
15847 14518 780
5340 13505 899
21492 2340 952
15199 5851 527
9435 17189 140
2499 11724 794
11207 11381 49
17307 6741 301
7590 24432 770
14422 18717 236
5577 24995 846
20938 7622 528
20088 1109 850
429 21878 525
13732 5981 833
12270 23317 50
9523 22077 494
3733 9180 961
6626 7368 358
11680 19534 329
9258 2016 517
17587 3636 22
23695 15517 648
24925 23429 464
14663 5965 770
17587 19647 478
15427 10746 516
16589 13401 506
2477 4259 931
21365 189 266
2766 4459 895
11313 1275 477
20810 11584 57
4498 11811 676
6626 12473 180
19798 5406 671
11382 10403 185
10020 9750 938
1009 2250 603
7966 11270 354
16661 5624 932
4044 746 567
4312 14311 280
22811 14827 519
3751 22848 239
11162 1661 283
1676 24932 214
8288 12502 117
6233 11589 378
20296 10327 109
22848 8333 575
20938 14684 821
9577 6990 165
11381 3574 145
21249 8196 148
23245 6246 990
1109 4798 946
18533 18554 99
1707 211 442
24960 6014 919
15199 14599 916
7373 4129 761
669 1949 126
18409 1430 903
7615 20797 784
814 10724 640
17348 8378 245
8212 22049 277
17127 17055 622
22547 5530 227
17701 21596 863
23363 14811 268
10928 5971 173
5237 4546 72
7190 23626 799
16593 10367 398
10725 21172 748
17727 21594 995
24645 6111 312
3944 5319 696
10810 19809 926
9180 12457 169
18554 682 638
11810 21509 882
23740 1029 899
23222 16051 348
23744 3464 993
10855 10593 224
23814 20011 14
899 8233 648
1430 64 83
14530 5483 642
4568 4384 480
11532 18619 267
2624 19556 357
663 22246 983
21427 21404 876
19798 19882 921
814 9346 977
8826 3196 41
563 15145 696
4129 9247 765
15638 7901 641
814 19219 175
13732 24852 779
9962 18464 708
751 5781 923
16916 3543 157
16683 3305 478
2016 17528 398
4129 2320 819
16799 15086 553
15890 18732 598
2274 15302 932
19798 1681 244
24397 6507 521
4873 14748 894
11650 21700 642
17348 22364 70
23165 17417 59
10810 23484 66
24052 22612 482
9247 19123 351
6822 3011 221
14236 24589 594
2533 18697 673
15302 24502 589
16552 12776 47
13968 21110 627
12297 5239 361
0 16778 405
4780 21156 947
18464 22964 656
13623 16566 53
17307 2238 236
11396 14308 668
9945 13253 65
621 17508 792
14663 1403 619
8212 4395 501
1773 19235 976
14236 13077 14
7022 1052 685
4967 23053 740
2686 14391 76
10719 16544 463
5981 4138 220
7922 55 683
12129 12864 957
2934 571 501
14391 22598 574
7479 4132 752
5325 4891 974
5148 14222 194
10126 22301 229
22049 919 658
4780 2890 229
16577 11105 513
14530 16977 131
5319 8829 247
13253 6862 81
20285 2529 540
14210 8963 281
4247 12829 530
9593 21238 679
14765 12750 471
4459 15584 962
1657 24803 452
21594 4960 810
10420 4389 130
17527 3416 36
14654 23610 922
